"","Symbol","E12/E11","E13/E12","E14/E13"
"131","Hlx",0.982086884154187,NA,NA
"132","Hmga1",-0.547478727935711,NA,NA
"133","Hmga2",NA,-1.07216860184305,-0.907101600182725
"134","Hmgb3",-0.535865103202109,-0.500158737967369,-0.650973285157401
"135","Hnf4a",1.47031693096436,-1.20940482603062,NA
"136","Hnf4g",1.43941871917121,NA,NA
"137","Hopx",NA,0.971549833204591,NA
"138","Hoxa10",-0.895543362961328,NA,NA
"139","Hoxa11",-1.27169550376129,NA,NA
"140","Hoxa2",NA,-0.88185905391535,NA
"141","Hoxa3",NA,-0.843646965858375,-0.57544223630716
"142","Hoxa4",NA,-0.948041841366477,NA
"143","Hoxa5",NA,-1.20208617250538,-0.634590980432466
"144","Hoxa6",-0.838771744790592,-1.08155986141634,NA
"145","Hoxa7",NA,-0.774866316596213,NA
"146","Hoxa9",-0.878530351716879,NA,-0.597402053017984
"147","Hoxb4",NA,-0.701969275565988,NA
"148","Hoxb8",NA,NA,-0.575797209012865
"149","Hoxb9",1.38566952214794,NA,-0.576129898100848
"150","Hoxc10",-2.23107389817572,0.739687927010118,NA
"151","Hoxc11",-1.47967326794677,NA,NA
"152","Hoxc12",-1.98405251339551,0.68265177785071,NA
"153","Hoxc13",-2.08395887083389,0.727829192821408,NA
"154","Hoxc4",0.577022070095794,-0.582630051281291,NA
"155","Hoxc5",1.305491609322,-0.815526859935515,NA
"156","Hoxc6",NA,-0.608464128181691,NA
"157","Hoxc8",1.25289678728021,NA,NA
"158","Hoxd1",2.25441922394062,NA,NA
"159","Hoxd10",-0.808108699643794,NA,NA
"160","Hoxd11",-0.71487906808302,NA,-0.641603302852135
"161","Hoxd12",NA,-0.710078755816769,-0.819769395102401
"162","Hoxd13",NA,-0.647513328300177,-0.991704823322259
"163","Hoxd4",-0.596623380947688,NA,NA
"164","Hoxd8",NA,0.889619535005586,NA
"165","Hoxd9",-1.17745415371704,NA,NA
"166","Ikzf1",1.33554966527829,NA,1.20101366759037
"167","Ikzf3",1.09728298424414,NA,NA
"168","Insm1",-0.893725734584647,NA,NA
"169","Irf1",0.819831549811414,NA,NA
"170","Irf4",2.10490020163663,NA,1.44312798134018
"171","Irf5",0.847310181770309,NA,1.19192085991279
"172","Irf6",NA,0.627337509186449,NA
"173","Irf7",1.28486186611143,NA,1.05074817798272
"174","Irf8",1.32298747424733,NA,1.26639503091967
"175","Irx1",2.84189936674293,NA,NA
"176","Irx2",1.32952698681095,1.12900807085349,NA
"177","Irx4",-2.13282354709623,1.59010906629394,NA
"178","Irx5",0.563291886283027,0.534726922553303,NA
"179","Irx6",NA,1.2422318353097,-0.609610862950864
"180","Isl1",NA,-1.2544520182601,NA
"181","Isl2",-1.52286529771719,-0.687234983213326,NA
"182","Isx",NA,NA,0.981780454390874
"183","Jazf1",1.01808304016077,NA,NA
"184","Jdp2",NA,0.873254800084529,NA
"185","Jun",0.727742998195045,-0.613264756303344,0.69058786488298
"186","Junb",2.01283618289522,NA,1.02882134816615
"187","Jund",0.63656375848383,NA,0.57461713302876
"188","Klf1",NA,-0.85220372152061,NA
"189","Klf14",1.2894301394175,0.761505328648719,NA
"190","Klf2",1.31882868425116,NA,1.27519830365805
"191","Klf4",1.07724631809003,NA,0.863943579564449
"192","Klf5",NA,0.875633890598799,0.778056148786412
"193","Klf6",1.76761396383306,NA,0.630260127874884
"194","Klf7",0.756335817883094,NA,NA
"195","Klf8",0.554957906411786,NA,NA
"196","Lbx1",NA,-0.72957153665021,NA
"197","Lhx1",-2.39051001146397,NA,NA
"198","Lhx2",NA,-0.528381769464189,-1.06447677668843
