"","Symbol","E12/E11","E13/E12","E14/E13","E13/E11","E14/E11","E14/E12"
"310","Myef2",NA,NA,NA,NA,-0.736426766590163,NA
"311","Myf6",NA,NA,NA,NA,1.80300861840892,1.38990492394313
"312","Myog",NA,NA,NA,NA,1.69683281074187,NA
"313","Myrf",-0.585901001173383,NA,NA,NA,-0.992393044419343,NA
"314","Myt1",NA,NA,NA,NA,NA,-1.3749086392292
"315","Myt1l",1.47328123119678,NA,NA,NA,NA,-1.58412356260641
"316","Nanog",1.18396679104148,NA,NA,NA,NA,NA
"317","Ncoa1",0.727601224051853,NA,NA,NA,1.06034015879489,NA
"318","Nfatc1",0.765643721776163,NA,NA,NA,0.720070485563388,NA
"319","Nfatc2",NA,NA,NA,NA,NA,0.544223789783211
"320","Nfatc4",NA,NA,NA,NA,-0.715760375218596,NA
"321","Nfe2l2",NA,NA,NA,NA,0.752262146092469,0.702562123700109
"322","Nfe2l3",1.7312766630999,0.611364089012493,-0.688549208460196,-0.688549208460196,1.66460921899292,NA
"323","Nfia",0.920859917394118,NA,NA,NA,1.08484716879424,NA
"324","Nfib",1.43343824743417,NA,NA,NA,1.99642615321489,0.50204972863172
"325","Nfic",1.00697683000778,NA,NA,NA,1.78089778486786,0.749849697985898
"326","Nfix",1.9903356860312,NA,NA,NA,3.08475202447511,0.929719325097458
"327","Nfkb1",NA,NA,NA,NA,0.810454143486924,0.566629498424889
"328","Nfkb2",NA,NA,NA,NA,0.654983867943422,NA
"329","Nfyb",NA,NA,NA,NA,-0.95546222500237,-0.638005766647813
"330","Nhlh2",NA,NA,NA,NA,-2.77834580941194,-1.40969521102822
"331","Nkrf",NA,NA,NA,NA,-0.672280623950639,NA
"332","Nkx1-1",-1.94564165705341,NA,NA,NA,-4.23574045626163,NA
"333","Nkx2-2",NA,NA,NA,NA,1.64578227772264,1.18993132069507
"334","Nkx3-1",-1.19838351931639,NA,NA,NA,-1.84734484075781,NA
"335","Nkx6-1",NA,-0.680134097260219,NA,NA,NA,NA
"336","Nkx6-3",NA,0.714402938824251,NA,NA,NA,NA
"337","Npas2",2.09081747787053,0.76523266552455,NA,NA,4.02671743595337,1.25660008109441
"338","Npas3",0.841772258348981,NA,NA,NA,1.29156148550836,NA
"339","Nr0b1",-1.33355180359223,NA,NA,NA,-1.73844862373235,NA
"340","Nr0b2",NA,NA,NA,NA,2.61822777972715,1.55381286764194
"341","Nr1h3",NA,0.514877523044368,NA,NA,NA,0.885520643660603
"342","Nr1i3",NA,NA,NA,NA,2.75450147094385,1.4539867475866
"343","Nr2c1",NA,NA,NA,NA,-0.526123158904484,NA
"344","Nr2f1",NA,-0.766288476026802,NA,NA,-1.98377372390137,-1.42669154550929
"345","Nr2f2",NA,-0.581771078385704,NA,NA,-1.16260952589087,-1.09049858010941
"346","Nr3c1",1.39734028470422,0.660487183682944,NA,NA,2.53388832933855,1.02042089330442
"347","Nr3c2",2.02335338118789,NA,NA,NA,2.93775877348788,NA
"348","Nr4a1",1.70818284150529,0.562404183973568,NA,NA,2.99300087325637,1.25688506631774
"349","Onecut2",0.634331632893458,-0.596584568326775,NA,NA,-1.05662592174045,-1.57491450817141
"350","Osr1",1.00336057028971,NA,NA,NA,1.24657140075981,NA
"351","Osr2",NA,NA,NA,NA,NA,0.772103005638967
"352","Parp12",1.14865553870928,NA,NA,NA,1.9118504357621,0.740147960961784
"353","Patz1",-0.533497763964489,NA,NA,NA,-1.01576271199625,NA
"354","Pax1",NA,NA,NA,NA,-0.794559320417117,NA
"355","Pax3",NA,0.631688625436191,NA,NA,0.583515308446798,0.804311353723862
"356","Pax7",1.11419167287513,NA,NA,NA,1.27078775664345,NA
"357","Pax9",-1.08509946995838,NA,NA,NA,-2.21075207071736,-0.903222607165682
"358","Paxbp1",NA,NA,NA,NA,-0.641561785908445,NA
"359","Pbrm1",NA,NA,NA,NA,-0.784826305603792,NA
"360","Pbx1",NA,NA,NA,NA,-0.942213989678474,-0.641290513501351
"361","Pbx2",NA,NA,NA,NA,-0.9405383131705,-0.503004747690705
"362","Pbx3",-0.509264069630356,NA,NA,NA,-0.884043513409118,NA
"363","Pbx4",NA,NA,NA,NA,-0.958588613563516,NA
"364","Pgr",NA,-0.560254389222093,NA,NA,NA,NA
"365","Phox2b",NA,NA,NA,NA,NA,-1.06483947114114
"366","Pias2",NA,NA,NA,NA,-0.643625587760477,NA
"367","Pitx1",1.22580524317635,NA,NA,NA,NA,NA
"368","Pitx2",NA,-0.787578794439086,NA,NA,-2.16534066108887,-1.42490796088766
"369","Pitx3",0.782739762702671,NA,NA,NA,NA,NA
"370","Pknox2",-0.550349998422006,NA,NA,NA,-1.06410042973694,NA
"371","Plagl1",1.17746738958878,NA,NA,NA,1.43831199482602,NA
"372","Plek",0.810571792202763,NA,NA,NA,1.92559116248285,0.953183320177132
"373","Plscr1",-0.554508586078476,NA,NA,NA,-0.941818821740967,NA
"374","Pms1",NA,NA,NA,NA,-0.945197022275383,-0.693602413015165
"375","Pou1f1",NA,NA,NA,NA,3.94046631015476,2.13085388010813
"376","Pou2f1",-0.79702962385314,NA,NA,NA,-1.33684902093243,-0.518184727207679
"377","Pou2f2",NA,NA,NA,NA,1.31300186700162,1.05782022994062
"378","Pou2f3",0.954258481342773,NA,NA,NA,4.75789231539837,1.27516207083568
"379","Pou3f1",1.15590585695218,NA,NA,NA,1.84832019682868,NA
"380","Pou3f2",NA,NA,NA,NA,NA,-0.785575555865962
"381","Pou3f3",1.93547733336178,NA,NA,NA,1.3546437371571,NA
"382","Pou4f1",-0.913560126195639,NA,NA,NA,-0.990206217566983,NA
"383","Pou5f2",NA,NA,NA,NA,1.02694037749192,NA
"384","Pou6f2",-0.83261390902693,NA,NA,NA,-1.23549731957688,NA
"385","Ppara",0.581529727996116,0.630342044083652,NA,NA,1.20562798734161,0.574470570328894
"386","Pparg",1.32417712434732,0.858766161528112,0.973959416259494,0.973959416259494,3.67559698994888,2.07686642008141
"387","Prdm14",-0.744235609052445,NA,NA,NA,NA,NA
"388","Prdm16",-0.61438023424339,-1.03305150804745,NA,NA,-2.56544641804717,-1.82445168616102
"389","Prdm4",NA,NA,NA,NA,-0.63387538506235,NA
"390","Prdm6",NA,NA,NA,NA,0.774826163887039,NA
"391","Prdm8",0.860004027208391,0.809094688388655,NA,NA,2.06021844672413,1.10435669201587
"392","Prox1",1.49579038532116,NA,NA,NA,NA,NA
"393","Prrx1",NA,NA,NA,NA,-1.0507160801122,-0.657140471508254
"394","Prrx2",NA,NA,NA,NA,-0.994628286455695,-0.553926141261069
"395","Pura",NA,NA,NA,NA,0.716159945723557,0.566759717956841
"396","Rag1",-0.870021267566145,NA,NA,NA,-2.49353837553496,-1.46179795072054
"397","Rarb",1.36808483227601,NA,NA,NA,0.869182798259008,-0.539328986896338
