"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","cluster"
"Foxd1",0.433140560102836,0.864170269867372,0.81735141026138,0.793324114897433,0.503981669604268,0.17804747400031,0.626534533222016,0.231441657672779,0.291491262318396,0.349350724195717,0.326545551467297,0.188157701953377,0.237351464826331,0.21590354768276,0,0.178886722743853,0.278721009110976,0.194349893137605,0.307016377877495,0.064318699257573,0.128172025288026,1,0.957186003361318,1
"Gm20939",0.843100771051566,1,0.955873047499036,0.87007790234245,0.852693734672078,0.480797897100614,0.474267049995083,0.523308355424136,0.40330593792055,0.406796994690019,0.488136585026332,0.522923590615895,0.284911862120236,0.398106352418251,0.369112542740558,0.515563970721406,0.494100228395193,0.30400779578024,0.270850252508219,0,0.247676911201691,0.30129129375393,0.0675567422182007,1
"Gm5141",0.823840666759903,1,0.987257886310892,0.908445611053906,0.935882999527132,0.645925217113037,0.573363262874882,0.427235186224023,0.347732474198295,0.479036729700983,0.441755239438755,0.547234655733947,0.383561192120379,0.473589541907437,0.460634815172347,0.374321193121682,0.509793525044509,0.201185144821066,0.177758074522584,0,0.159648117883167,0.422974674619068,0.311335387746298,1
"Hoxd10",0.815492166977645,1,0.976734589168871,0.97879767437067,0.871818886188988,0.495759596433097,0.321991331082821,0.443870899161499,0.347106937733119,0.329406603321786,0.513539809419308,0.423972040280534,0.340701463403635,0.163564691455531,0.26582072386238,0.27662522608476,0.446850233951362,0.22320592036062,0.211900419909786,0,0.00900894165060525,0.248587979700128,0.37661452902465,1
"Hoxd11",0.824664646125279,0.991787498836273,0.994118452218454,1,0.889887640151743,0.574595974253611,0.43439610367867,0.556394665859604,0.442221474768738,0.391127283884474,0.545021937520441,0.433114953549577,0.302331589605706,0.14437906226784,0.300496063534356,0.242333624618021,0.388253095036732,0.287130234286634,0.310881212383985,0.0365660954564114,0,0.190857949858071,0.32083419539981,1
"Hoxd12",0.852868261011561,1,0.980990003868916,0.954348763165856,0.788225052930329,0.729911435665998,0.575234709540548,0.684107055431805,0.599109871371385,0.455743355402853,0.605903664822971,0.505126121094049,0.305012002484051,0.197412427825405,0.398726669760997,0.283248243294521,0.426224535292286,0.393421383543777,0.491583076163255,0.0893900924437007,0,0.177198449774482,0.353061753919199,1
"Hoxd13",0.884845340434741,1,0.976531131246672,0.938052314124327,0.798392452910113,0.830023944405923,0.719492481300214,0.739801613613443,0.635655002279625,0.524579911295731,0.74541262183518,0.647387513887549,0.356872259610858,0.281112262691998,0.510342940954801,0.291684833070126,0.449735431035674,0.345126515543737,0.480528276321833,0,0.00407444511406811,0.249461408222219,0.363167569865862,1
"Lhx2",0.876224755613087,0.975005280792599,1,0.982773288734993,0.975562401098189,0.686096335469367,0.646127087041776,0.614804946508578,0.737433728708736,0.544011795734391,0.701646937457716,0.608265626842771,0.409705779346196,0.3473123389296,0.576808179162532,0.318612640708794,0.436446890564353,0.350001802231765,0.535880383415897,0.11913683983402,0,0.237911287235148,0.330967042720479,1
"Lhx9",0.895324842082591,0.969967039492946,0.968717638347696,0.947145335212146,1,0.66419827754401,0.593933598901307,0.583522615077745,0.661430256830226,0.456341623690878,0.528270916608811,0.509768871997837,0.28104522279183,0.28556328289455,0.474465111238921,0.248855986032636,0.325418836515994,0.229674969618677,0.432525889373026,0.0968807089786081,0,0.137465601081524,0.209798739286148,1
"Lmx1b",0.814011820888505,0.975604836213595,1,0.966579675282339,0.954694849956756,0.602726280400953,0.435344229323236,0.550802836909153,0.346028420780066,0.536266488378042,0.54971045034685,0.422917382490371,0.536140406100395,0.32554505523368,0.309516863751628,0.354465226994903,0.410075476526697,0.31629128437517,0.367716810508743,0.239200457629504,0,0.12312072181321,0.279199406860561,1
"Mecom",0.852287436653376,1,0.985298083568498,0.974382231667673,0.98578133915556,0.696358857261547,0.597205079268294,0.581070890281398,0.562119830988902,0.459001779650365,0.573363645787023,0.543117970719572,0.284394243606198,0.193495719167828,0.389712100566205,0.294104357427913,0.357590581646997,0.281095722101848,0.452651299640859,0.0777133257924231,0,0.132781141829735,0.253352460223488,1
"Msx2",0.772065541640095,1,0.973395013701824,0.946618642762548,0.991852772248438,0.570016278559954,0.511231541501549,0.660634340352749,0.66390386918979,0.575484739653078,0.60063667783889,0.534000118181343,0.377580233909864,0.431309768036754,0.614727201189592,0.240137366359309,0.422060741522762,0.345782485738719,0.482627140200241,0.0616854260337135,0,0.486435574435689,0.548332924636025,1
