"","X","E12.E11","E13.E12","E14.E13"
"Rab3c",3367,1.41721179984507,NA,-0.697171992927614
"Rnf152",3503,0.720937994895291,NA,-0.553278734007305
"Slc6a15",3790,0.912009901666141,NA,-0.698143497550492
"Slitrk2",3818,1.01207642308931,NA,-0.563139302070235
"Stac",3937,1.26450424165942,NA,-0.777307506401818
"Tmtc2",4179,0.508845942340671,NA,-0.505077905631564
"3425401B19Rik",39,0.854252066259821,-0.832023100977304,NA
"5031434C07Rik",69,1.02906146263236,-0.629443552658947,NA
"A230070E04Rik",104,0.667258694389522,-0.747425372778394,NA
"Abcb4",135,1.45512520435129,-0.768047116052348,NA
"Acta2",175,1.30675205422448,-0.528328123273936,NA
"AF529169",252,0.674238905399952,-0.721713067187944,NA
"Aldh1a2",293,1.32229691526222,-1.07060455772646,NA
"Ccdc141",674,0.809134400258924,-0.697379861641261,NA
"Ccnb3",698,1.12205726216123,-1.18787642876632,NA
"Ccr9",710,1.5401123598445,-0.7283534330117,NA
"Cd27",725,1.32770458630665,-0.778607623512037,NA
"Cdh17",774,1.87147426159347,-1.25902806332293,NA
"Corin",971,0.924642818862753,-0.797476739489448,NA
"Crym",1017,0.895508854776146,-1.07330007720966,NA
"Csmd2",1026,2.2433598492533,-0.675564176018172,NA
"Cxcl2",1067,3.70481636993756,-1.01949364059882,NA
"D630039A03Rik",1102,1.01038756379486,-0.700500065198292,NA
"Ephb1",1334,1.43300569250274,-0.793223335552611,NA
"Fam159a",1401,0.736595882135267,-0.901852792741505,NA
"Fgf5",1499,0.622411850591799,-1.63580715578354,NA
"Flt3",1529,1.87451373573465,-1.17842744877972,NA
"Kcne1l",2211,1.04963356786265,-0.501650269573047,NA
"Kcnf1",2214,0.682136915392146,-0.593583514390525,NA
"Kirrel2",2272,0.890792650815467,-0.682540806126728,NA
"L1td1",2315,1.04759341216723,-0.772070001895267,NA
"Lgi1",2352,1.43524005836924,-0.617626087703471,NA
"Lmod1",2390,0.758202823151725,-0.713566847843585,NA
"Lrp2",2420,0.91766646063301,-0.900868556324398,NA
"Nrsn1",2894,1.12929886817265,-0.883390320549979,NA
"Ntrk1",2903,1.72575239396175,-0.552198969927407,NA
"Oxtr",2962,1.73154103490604,-0.822674677640938,NA
"Pcp4l1",3032,0.853912851854597,-0.883607001342121,NA
"Rasal1",3397,1.29989691359661,-0.738413081238688,NA
"Rimkla",3483,0.687641322590022,-0.662746897967052,NA
"Ryr2",3544,0.722922522028915,-0.755214142643092,NA
"Siglech",3696,1.6077030145626,-0.735610806760517,NA
"Synpo2",3994,0.897121699642303,-0.713094760572124,NA
"Tagln",4016,2.06756646556244,-0.553693259363743,NA
"Tceal6",4039,0.776393946112786,-0.684734553759163,NA
"Tcerg1l",4041,0.7265923668016,-0.729059429473268,NA
"Tmem108",4130,0.562732255846616,-0.793922759235743,NA
"Tmem200c",4154,0.588376566615474,-0.779264506909503,NA
"Tmprss2",4176,1.3216909102811,-0.72287405985028,NA
"Tnf",4181,2.97138881408404,-0.697175023205715,NA
"Ttr",4290,1.97161424465819,-0.845876824355013,NA
"Tubb4a",4298,0.852359584698463,-0.66173393442669,NA
"Vnn1",4359,1.01416785802594,-0.808463719436091,NA
"Dusp1",1224,1.22836561073928,-0.57419892389018,0.843903431268062
"Dusp5",1231,1.06427366327022,-1.05643125339672,0.896477772926981
"Gpr84",1817,1.95246486751219,-0.725981509720452,0.850606025572338
"Havcr2",1895,1.35771053754431,-0.693751421468052,0.846513428838466
"Hspa1a",2004,1.11044173148813,-0.764991339515665,1.18572650988719
"Nfkbiz",2812,1.20744197423984,-0.809006192510668,1.00278481444375
"Serpinb6b",3639,1.3395435150461,-0.698734515507845,0.699939600065245
"Tnfaip3",4182,1.35005724311057,-0.584770793615813,1.12620746866109
"2810442N19Rik",29,NA,NA,-0.922141847669763
"3110039I08Rik",37,NA,NA,-0.537731024795993
"5730559C18Rik",80,NA,NA,-0.771513318381669
"6820431F20Rik",90,NA,NA,-0.587403899369945
"Acvr2a",179,NA,NA,-0.543939829215173
"Adam11",184,NA,NA,-0.521928038630601
"Adamtsl2",204,NA,NA,-0.894295821484334
"Ankrd45",332,NA,NA,-0.699887535320011
"Arhgef28",400,NA,NA,-0.603011729779424
"Arxes1",425,NA,NA,-0.620777418210423
"Arxes2",426,NA,NA,-0.716678072455678
"B3galt1",485,NA,NA,-0.71030862128331
"B4galnt4",494,NA,NA,-0.707099880200631
"Btbd11",568,NA,NA,-0.627482605443147
"C130021I20Rik",578,NA,NA,-0.533420135683474
"C230072F16Rik",599,NA,NA,-0.889675854449292
"C630043F03Rik",605,NA,NA,-0.564105082937951
"Cadm1",617,NA,NA,-0.605646077848377
"Cadm2",618,NA,NA,-0.667357242538386
"Cdh10",770,NA,NA,-0.61792282504004
"Cdh2",777,NA,NA,-0.611237748232506
"Cdh3",780,NA,NA,-0.66844448094019
"Chic1",831,NA,NA,-0.582013901030597
"Cntn2",920,NA,NA,-1.03076778619907
"Crmp1",1008,NA,NA,-0.772618846153726
"Dab1",1106,NA,NA,-0.738661676684176
"Dcc",1119,NA,NA,-0.703248137338502
"Dcdc2a",1120,NA,NA,-0.870903295878522
"Dixdc1",1148,NA,NA,-0.52820221042905
"Dll3",1161,NA,NA,-1.1029392158645
"Efr3b",1269,NA,NA,-0.642833377242868
"Ehd3",1280,NA,NA,-0.660498895025042
"Eif5a2",1285,NA,NA,-0.508441330963137
"Elavl4",1287,NA,NA,-0.704429507800962
"Enpp3",1321,NA,NA,-0.597722420764438
"Epha4",1331,NA,NA,-0.563283884871357
"Fam13c",1397,NA,NA,-0.541085630722145
"Fam163a",1404,NA,NA,-0.771460051571151
"Fam171b",1408,NA,NA,-0.511372536649745
