"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","Family"
"Ncoa1",0.469732342649615,0.471096886721087,0.376879935834701,0,0.16071665415456,0.35147222520847,0.445691869850628,0.448938258452058,0.170404556909945,0.578322337028968,0.278575694213209,0.438781191454144,0.99144256782797,0.801506492075111,0.445815920016561,1,0.891603904728219,0.700978607137794,0.297092100195083,0.791580411318901,0.849358009980174,0.809825707789008,0.70165767731869,"bHLH"
"Npas2",0,0.0431977992284989,0.0751479949231927,0.0927236061812883,0.0639527375761018,0.167524908880994,0.532830480184041,0.302077238294137,0.299975989985104,0.728168204576246,0.663338820875712,0.581219765753477,0.946289368879812,0.859611266487909,0.684319056319926,0.936002235478516,0.975083518204378,0.884706946954625,0.354201530353969,0.798998605676121,0.757220684982548,0.969801816591725,1,"bHLH"
"Npas3",0.158188618254727,0.208220563634755,0.226723791954298,0.0106344061300475,0.101636026870486,0.318518393756468,0.347084699705389,0.329126593568322,0.053420848914346,0.352042915963304,0.198629562883677,0.228365968957672,0.51321742835689,0.522662205736347,0.386244471998621,0.749431309412749,0.814004404784071,0.58829822534944,0.116867226855204,0.753535504172522,1,0,0.11321914299166,"bHLH"
"Tcf24",0.195502318233683,0,0.0706342944393998,0.0452661332387515,0.05345004822013,0.43760451669393,0.426026592146687,0.506205518134397,0.460830293840341,0.491158058510732,0.549976580357865,0.635344622232992,0.573172739961707,0.67847430440682,0.848615275182561,0.693515153580763,0.577349649341749,0.547078242933774,0.778448769007668,0.86531020365123,1,0.513318886822441,0.464795654515243,"bHLH"
"Twist2",0.0556802457858785,0.235501640894333,0.244026487826455,0.0655466432193202,0,0.138491181476498,0.270569875642615,0.33455533358906,0.109704474462602,0.506442640667712,0.271880131908396,0.19086654857752,1,0.805590883264529,0.641883633319259,0.751385922133606,0.911460211221409,0.830508993548528,0.174774860877714,0.711237093802612,0.746192273706733,0.906585561868084,0.790366808258989,"bHLH"
"Nfia",0.140755217043687,0.349199913645129,0.319405783858677,0.0383496215686741,0.214916757407019,0.409368027322684,0.450934444882548,0.320137441785017,0,0.702965800166995,0.495167314050586,0.613112307472553,0.637111419766801,0.520355139399098,0.457517850797977,0.733725887747537,1,0.684451939676484,0.0341861014909923,0.569068593274929,0.666942689448254,0.573837172420961,0.552237108993838,"CTF/NFI"
"Nfib",0.187169941312664,0.310017045398601,0.29126890401625,0,0.13747744923104,0.486490179111828,0.57307410397905,0.477374748972207,0.291923201550112,0.777049825175216,0.621901869740843,0.64566163661487,0.763344941444308,0.71830489964189,0.606284165161599,0.890612470713304,1,0.763049855196142,0.393999078391829,0.786145992608846,0.881003023970502,0.709130879182834,0.714339861408641,"CTF/NFI"
"Nfic",0,0.257006655036535,0.236895705342833,0.102031347125637,0.163383898289982,0.148454343870798,0.354502641498787,0.278743434958774,0.265966933010386,0.646161442442373,0.585143784395103,0.490432223978911,0.811785177158352,0.631150591223316,0.466966666175848,0.804848908719867,1,0.845408140469681,0.309340094330939,0.779687100992072,0.918057706231391,0.860097226020742,0.957330199791195,"CTF/NFI"
"Nfix",0.0111739698901757,0.120944324029526,0.153496347263354,0,0.0843421371864583,0.400102053504311,0.477041486540742,0.43671390531419,0.431075262121955,0.827210628736487,0.764429489610111,0.728079412431982,0.913836428346978,0.811934378694695,0.715731239851693,0.92778923387339,1,0.953847628707442,0.488527280921441,0.905789703977544,0.943161926787446,0.910267195318368,0.995276624103872,"CTF/NFI"
"Dmrt2",0.451185276446562,0.373408280867343,0.415733418995919,0,0.0645190067624809,0.280633406347865,0.371383789488616,0.365189112123331,0.234402842387225,0.497788121227101,0.24383851820217,0.272945451303623,0.567825612714664,0.570443510104404,0.415307492956085,0.814316199498351,0.867700696711076,0.762201261133786,0.43406338266118,0.907743662786679,1,0.25393310961917,0.288662877301862,"DM"
"Ar",0,0.112538232508827,0.196896816125597,0.0277273531659391,0.0727885539082651,0.208187822512629,0.255251959193876,0.289019132441423,0.212819998888214,0.816815757342553,0.598895393959074,0.624368272145474,1,0.92840485652715,0.786329461817971,0.937056055313444,0.995395326751807,0.899584900624587,0.365215662234477,0.936192610636226,0.840742310728506,0.986891292908173,0.894043157129681,"ESR-like"
"Nr3c1",0,0.184412722755981,0.087173206842464,0.0372297060344671,0.119466685719546,0.237097989776697,0.315348949499725,0.231492920833649,0.210801142027651,0.652612767693231,0.470041212173265,0.578797609014913,0.827505584957052,0.775996048573677,0.704437606232863,0.763729800405522,0.779469646994775,0.71340614157158,0.489505877510686,0.679034645713178,0.776663602744637,1,0.931096310482217,"ESR-like"
"Nr3c2",0.159503860126295,0.100505089495507,0.190065857403775,0,0.0116742368550072,0.490635129748233,0.485447710491393,0.512642239950604,0.263545822673999,0.782153027750859,0.609101788051673,0.671932003289519,0.887802969161332,0.729452657417476,0.621371351533651,0.903371852293194,1,0.877411383245619,0.312941743166059,0.913407564442313,0.967374432669065,0.654340369819565,0.78278480585801,"ESR-like"
"Elf4",0,0.195955859950914,0.140454816154849,0.227499500069671,0.301904585133207,0.040426579276381,0.104136087599872,0.118551278361244,0.446010444645777,0.51437184773842,0.478999076428604,0.523323068056028,0.711883381030604,0.642199018392036,0.622119779835459,0.703770808690789,0.784574333675974,0.742158967353215,0.732680771693349,0.825287166900601,1,0.88868737868519,0.91354166710224,"ETS"
