,e11.sample1,e11.sample2,e11.sample3,e11.sample4,e11.sample5,e12.sample1,e12.sample2,e12.sample3,e12.sample4,e12.sample5,e12.sample6,e12.sample7,e13.sample1,e13.sample2,e13.sample3,e13.sample4,e13.sample5,e13.sample6,e13.sample7,e14.sample1,e14.sample2,e14.sample3,e14.sample4,cluster,Family
Lin28b,0.889827973,0.972391233,0.966534764,1,0.937039301,0.432408633,0.441120085,0.36762103,0.392620889,0.071410638,0.119872779,0.128161717,0,0.150585229,0.201774335,0.063703771,0.035917526,0.020485399,0.507251983,0.127396443,0.311630429,0.121780799,0.091368427,1,CSD
Ybx2,0.883556451,1,0.990600411,0.903669106,0.909057502,0.518038179,0.487648933,0.54820711,0.520673172,0.485404298,0.456040113,0.373453065,0.347490358,0.270259433,0.329112268,0.477464588,0.655450656,0.292449231,0.384894862,0.247851955,0.319418338,0,0.269138194,1,CSD
Mybl1,0.797282961,0.991609263,0.990327188,1,0.957397318,0.389853409,0.23612753,0.262830667,0.150727101,0.259713903,0.470265842,0.396297453,0.247604913,0.336548028,0.263177015,0.283974397,0.307141437,0.150429633,0.025253913,0,0.200899717,0.225363603,0.223691047,1,MYB
Rcor2,0.779009785,0.988791464,0.984620431,1,0.897530041,0.349518832,0.290979313,0.437977834,0.398701381,0.206115498,0.325147309,0.224750029,0.146980185,0.196699819,0.188837929,0.202523843,0.310120846,0.118805894,0.254202047,0,0.075039967,0.05670776,0.151857,1,MYB
Nr2f1,0.900202605,0.961617515,1,0.766769199,0.813888035,0.715404381,0.756812195,0.775588793,0.674227213,0.347470998,0.250799955,0.205991254,0.178022404,0.172123177,0.176254152,0.424656107,0.423704519,0.30975917,0.483279001,0.246168122,0.340024327,0.018126682,0,1,RXR-like
Nr2f2,0.883219952,0.984968829,1,0.887648337,0.8111632,0.721955919,0.662193304,0.62171622,0.481289193,0.538655633,0.574481462,0.475507212,0.251785491,0.153202966,0.306030714,0.366801388,0.467219515,0.3585988,0.498887747,0.270677191,0.229792428,0.065987486,0,1,RXR-like
Tfap2c,0.718085616,0.87548631,0.869470741,1,0.920694096,0.249404294,0.273944081,0.168518938,0.321532479,0.638028478,0.451983206,0.408426679,0.229080459,0.356771622,0.47408782,0.129935878,0.339141872,0.151684723,0.267098707,0.025430853,0,0.591506368,0.715389183,1,AP-2
Arid3b,0.768443263,0.947951709,0.936261918,1,0.962554233,0.302056135,0.284592075,0.254111123,0.35218452,0.05035486,0.108796366,0.173069712,0.077252984,0.066573724,0.195695896,0,0.071104301,0.080528035,0.427752414,0.123359941,0.212647583,0.218301302,0.16850474,1,ARID
Csrnp3,0.817848277,0.980768603,1,0.798443051,0.831632311,0.631872971,0.50240685,0.574865779,0.27761339,0.455811822,0.497915813,0.480163646,0.189126732,0.136440182,0.18138673,0.228026152,0.379494648,0.23428564,0.272004302,0.019314584,0,0.251615044,0.335770078,1,CSRNP_N
Hsf2,0.815511266,1,0.945002778,0.876201787,0.898925902,0.498458991,0.528977959,0.460373565,0.354193207,0.330983684,0.407322776,0.376248254,0.228070198,0.258749783,0.246215337,0.302999622,0.262959436,0.1744372,0.310849048,0.098746446,0.211311286,0,0.077497652,1,HSF
