TFs,E12.E11,E13.E12,E14.E13,,,,,,,,,,Gene,E12-E11,E13-12,E14-13
,,,,,,,,,,,,,Clmn,-0.83,NA,NA
,,,,,,,,,,,,,Ttbk1,-0.83,-0.82,NA
,,,,,,,,,,,,,Mir140,-0.83,NA,NA
,,,,,,,,,,,,,Tanc1,-0.83,NA,-0.53
,,,,,,,,,,,,,Ckmt1,-0.83,NA,NA
,,,,,,,,,,,,,Wnt8a,-0.83,NA,NA
,,,,,,,,,,,,,Cxxc5,-0.83,NA,NA
,,,,,,,,,,,,,2610318N02Rik,-0.82,-0.70,NA
,,,,,,,,,,,,,Prss41,-0.82,NA,NA
,,,,,,,,,,,,,Ccdc103,-0.82,NA,NA
,,,,,,,,,,,,,Fgf4,-0.82,NA,NA
,,,,,,,,,,,,,Jag1,-0.82,NA,NA
,,,,,,,,,,,,,Bmp4,-0.82,NA,NA
,,,,,,,,,,,,,Coro6,-0.82,NA,NA
,,,,,,,,,,,,,D930020B18Rik,-0.81,NA,NA
,,,,,,,,,,,,,Cntd1,-0.81,NA,NA
,,,,,,,,,,,,,Hfm1,-0.81,NA,NA
,,,,,,,,,,,,,Gm16702,-0.81,NA,NA
,,,,,,,,,,,,,4930590J08Rik,-0.81,NA,NA
,,,,,,,,,,,,,Gja1,-0.81,NA,NA
,,,,,,,,,,,,,Ccdc109b,-0.81,NA,NA
,,,,,,,,,,,,,Dnaaf3,-0.81,-0.50,NA
,,,,,,,,,,,,,Nudt10,-0.81,NA,-0.70
,,,,,,,,,,,,,Gmnc,-0.80,NA,NA
,,,,,,,,,,,,,Etohd2,-0.80,NA,NA
,,,,,,,,,,,,,Galnt5,-0.80,NA,NA
,,,,,,,,,,,,,Lix1,-0.80,NA,NA
,,,,,,,,,,,,,LOC100861615,-0.80,NA,NA
,,,,,,,,,,,,,Cnksr1,-0.80,NA,NA
,,,,,,,,,,,,,Katnal2,-0.80,NA,NA
,,,,,,,,,,,,,Xist,-0.80,NA,NA
,,,,,,,,,,,,,Car14,-0.80,-0.87,-1.08
,,,,,,,,,,,,,Slc25a21,-0.80,NA,NA
,,,,,,,,,,,,,Acer2,-0.80,NA,NA
,,,,,,,,,,,,,Elovl2,-0.79,-0.53,-0.70
,,,,,,,,,,,,,Gm5796,-0.79,NA,NA
,,,,,,,,,,,,,Ube2t,-0.79,NA,NA
,,,,,,,,,,,,,Sned1,-0.79,NA,NA
,,,,,,,,,,,,,Spag17,-0.79,NA,NA
,,,,,,,,,,,,,Dnase1l2,-0.79,NA,NA
,,,,,,,,,,,,,Slc25a13,-0.78,-0.51,NA
,,,,,,,,,,,,,Aard,-0.78,NA,NA
,,,,,,,,,,,,,Ccdc163,-0.78,NA,NA
,,,,,,,,,,,,,Lpin3,-0.78,NA,NA
,,,,,,,,,,,,,Aldh1a7,-0.78,NA,NA
,,,,,,,,,,,,,4632427E13Rik,-0.78,NA,NA
,,,,,,,,,,,,,Ttc21a,-0.77,NA,NA
,,,,,,,,,,,,,Rasgef1b,-0.77,-1.30,NA
,,,,,,,,,,,,,Ccnjl,-0.77,NA,NA
,,,,,,,,,,,,,Fam69c,-0.77,NA,NA
,,,,,,,,,,,,,LOC102636514,-0.77,-0.60,-0.75
,,,,,,,,,,,,,Mycbpap,-0.77,-0.52,NA
,,,,,,,,,,,,,5730480H06Rik,-0.77,NA,NA
,,,,,,,,,,,,,Abhd3,-0.77,NA,NA
,,,,,,,,,,,,,Exph5,-0.77,NA,NA
,,,,,,,,,,,,,2610020C07Rik,-0.76,NA,NA
,,,,,,,,,,,,,Kcnip2,-0.76,NA,NA
,,,,,,,,,,,,,Dnm3os,-0.76,NA,NA
,,,,,,,,,,,,,Lmntd2,-0.76,-0.67,NA
,,,,,,,,,,,,,Slc4a8,-0.76,NA,-0.53
,,,,,,,,,,,,,Ccdc151,-0.76,NA,NA
,,,,,,,,,,,,,Snhg14,-0.76,NA,NA
,,,,,,,,,,,,,Wwp2,-0.76,NA,NA
,,,,,,,,,,,,,Chd7,-0.76,NA,NA
,,,,,,,,,,,,,Peg10,-0.76,NA,NA
,,,,,,,,,,,,,Mab21l1,-0.75,-0.83,NA
,,,,,,,,,,,,,T2,-0.75,NA,NA
,,,,,,,,,,,,,Gm11944,-0.75,NA,NA
,,,,,,,,,,,,,Cep97,-0.75,NA,NA
,,,,,,,,,,,,,Lrba,-0.75,NA,NA
,,,,,,,,,,,,,Spata18,-0.75,NA,NA
,,,,,,,,,,,,,Igf2bp1,-0.75,NA,NA
,,,,,,,,,,,,,Cldn9,-0.75,NA,NA
,,,,,,,,,,,,,Rspo2,-0.74,NA,NA
,,,,,,,,,,,,,Has3,-0.74,NA,NA
,,,,,,,,,,,,,Slc14a2,-0.74,NA,NA
,,,,,,,,,,,,,BC064078,-0.74,NA,NA
,,,,,,,,,,,,,Eldr,-0.74,NA,NA
,,,,,,,,,,,,,Cth,-0.74,NA,NA
,,,,,,,,,,,,,Pdgfc,-0.74,NA,-0.61
,,,,,,,,,,,,,Gm3558,-0.74,NA,-0.72
,,,,,,,,,,,,,Tmem194,-0.74,NA,NA
,,,,,,,,,,,,,Ppp1r36,-0.74,NA,NA
,,,,,,,,,,,,,2810410L24Rik,-0.74,NA,NA
,,,,,,,,,,,,,Ces2f,-0.73,NA,NA
,,,,,,,,,,,,,Draxin,-0.73,-0.91,-0.62
,,,,,,,,,,,,,Lrguk,-0.73,NA,NA
,,,,,,,,,,,,,Gdf11,-0.73,NA,NA
,,,,,,,,,,,,,Jpx,-0.73,NA,NA
,,,,,,,,,,,,,Eme1,-0.73,NA,NA
,,,,,,,,,,,,,Plxnb1,-0.73,NA,NA
,,,,,,,,,,,,,Krtcap3,-0.72,NA,NA
,,,,,,,,,,,,,Plch1,-0.72,NA,-0.80
,,,,,,,,,,,,,Smoc1,-0.72,NA,NA
,,,,,,,,,,,,,Rps6ka6,-0.72,-0.52,-0.80
,,,,,,,,,,,,,Mir17hg,-0.72,NA,NA
,,,,,,,,,,,,,Bbs10,-0.72,NA,NA
,,,,,,,,,,,,,Rhov,-0.72,NA,NA
,,,,,,,,,,,,,Macc1,-0.72,NA,NA
,,,,,,,,,,,,,Snord58b,-0.72,NA,NA
,,,,,,,,,,,,,Clcn1,-0.71,NA,NA
,,,,,,,,,,,,,Noxred1,-0.71,NA,NA
,,,,,,,,,,,,,BC006965,-0.71,NA,NA
,,,,,,,,,,,,,Ssc4d,-0.71,NA,NA
,,,,,,,,,,,,,Cadps2,-0.70,NA,-0.76
,,,,,,,,,,,,,Xkr5,-0.70,NA,NA
,,,,,,,,,,,,,Igsf9,-0.70,NA,NA
,,,,,,,,,,,,,Prtg,-0.70,NA,NA
,,,,,,,,,,,,,Slc39a2,-0.70,NA,NA
,,,,,,,,,,,,,Rrm2,-0.70,NA,NA
,,,,,,,,,,,,,Suv39h2,-0.70,NA,NA
,,,,,,,,,,,,,Mapk12,-0.70,NA,NA
,,,,,,,,,,,,,Ptch1,-0.70,NA,NA
,,,,,,,,,,,,,Dicer1,-0.70,NA,NA
,,,,,,,,,,,,,Cend1,-0.70,-0.76,-0.70
,,,,,,,,,,,,,AA543186,-0.69,NA,NA
,,,,,,,,,,,,,4930558J18Rik,-0.69,NA,NA
,,,,,,,,,,,,,Fzd10,-0.69,NA,NA
,,,,,,,,,,,,,Rad54l,-0.69,NA,NA
,,,,,,,,,,,,,Kif6,-0.69,NA,NA
,,,,,,,,,,,,,Samd12,-0.69,NA,NA
,,,,,,,,,,,,,Nudt11,-0.69,NA,NA
,,,,,,,,,,,,,Sapcd2,-0.69,NA,NA
