"","E12.E11","E13.E12","E14.E13","EntrezID","Symbol","Family"
"18991",1,1,0,"18991","Pou3f1","Pou"
"18993",1,0,0,"18993","Pou3f3","Pou"
"18996",-1,0,0,"18996","Pou4f1","Pou"
"19013",0,1,0,"19013","Ppara","THR-like"
"19016",1,0,1,"19016","Pparg","THR-like"
"383491",-1,0,0,"383491","Prdm14","zf-C2H2"
"70673",-1,-1,-1,"70673","Prdm16","zf-C2H2"
"225518",0,1,0,"225518","Prdm6","zf-C2H2"
"77630",1,0,0,"77630","Prdm8","zf-C2H2"
"19130",1,0,0,"19130","Prox1","HPD"
"18933",-1,0,0,"18933","Prrx1","Homeobox"
"19373",-1,-1,0,"19373","Rag1","Others"
"218772",1,0,0,"218772","Rarb","THR-like"
"19434",-1,0,0,"19434","Rax","Homeobox"
"104383",-1,0,0,"104383","Rcor2","MYB"
"19696",1,0,0,"19696","Rel","RHD"
"19726",-1,0,0,"19726","Rfx3","RFX"
"71137",0,-1,0,"71137","Rfx4","RFX"
"19885",1,0,0,"19885","Rorc","THR-like"
"68750",1,0,0,"68750","Rreb1","zf-C2H2"
"12394",1,0,0,"12394","Runx1","Runt"
"12399",0,1,0,"12399","Runx3","Runt"
"20183",1,0,0,"20183","Rxrg","RXR-like"
"58198",-1,0,-1,"58198","Sall1","zf-C2H2"
"20689",-1,-1,0,"20689","Sall3","zf-C2H2"
"99377",-1,-1,0,"99377","Sall4","zf-C2H2"
"20429",0,-1,0,"20429","Shox2","Homeobox"
"20464",0,-1,0,"20464","Sim1","bHLH"
"20465",0,-1,0,"20465","Sim2","bHLH"
"20471",0,-1,0,"20471","Six1","Homeobox"
"20472",0,-1,0,"20472","Six2","Homeobox"
"20474",-1,-1,0,"20474","Six4","Homeobox"
"55994",0,0,-1,"55994","Smad9","MH1"
"20665",1,0,0,"20665","Sox10","HMG"
"20666",-1,0,-1,"20666","Sox11","HMG"
"20669",-1,0,0,"20669","Sox14","HMG"
"20671",-1,1,0,"20671","Sox17","HMG"
"20672",0,1,0,"20672","Sox18","HMG"
"20674",1,0,0,"20674","Sox2","HMG"
"223227",-1,1,0,"223227","Sox21","HMG"
"20677",0,-1,0,"20677","Sox4","HMG"
"20678",-1,0,0,"20678","Sox5","HMG"
"20680",0,1,0,"20680","Sox7","HMG"
"20681",1,0,0,"20681","Sox8","HMG"
"20684",1,0,1,"20684","Sp100","SAND"
"109032",1,0,1,"109032","Sp110","SAND"
"434484",1,0,1,"434484","Sp140","SAND"
"20688",-1,0,0,"20688","Sp4","zf-C2H2"
"64406",1,1,0,"64406","Sp5","zf-C2H2"
"83395",-1,0,0,"83395","Sp6","zf-C2H2"
"170574",-1,1,0,"170574","Sp7","zf-C2H2"
"320145",-1,0,0,"320145","Sp8","zf-C2H2"
"381373",-1,1,0,"381373","Sp9","zf-C2H2"
"20375",1,0,1,"20375","Spi1","ETS"
"20849",0,-1,0,"20849","Stat4","STAT"
"20850",1,0,1,"20850","Stat5a","STAT"
"20852",1,0,1,"20852","Stat6","STAT"
"20997",-1,0,0,"20997","T","T-box"
"21350",0,1,0,"21350","Tal2","bHLH"
"57246",1,0,0,"57246","Tbx20","T-box"
"245572",-1,0,0,"245572","Tbx22","T-box"
"21386",0,-1,0,"21386","Tbx3","T-box"
"100039596",1,0,0,"100039596","Tcf24","bHLH"
"21416",0,-1,0,"21416","Tcf7l2","HMG"
"21679",1,0,0,"21679","Tead4","TEA"
"21418",-1,1,0,"21418","Tfap2a","AP-2"
"21419",-1,1,0,"21419","Tfap2b","AP-2"
"21420",-1,0,0,"21420","Tfap2c","AP-2"
"21425",1,0,0,"21425","Tfeb","bHLH"
"21426",1,0,1,"21426","Tfec","bHLH"
"21833",1,0,0,"21833","Thra","THR-like"
"21834",1,1,0,"21834","Thrb","THR-like"
"269389",1,0,0,"269389","Tox2","HMG"
"22061",-1,1,0,"22061","Trp63","P53"
"22062",-1,1,0,"22062","Trp73","P53"
"83925",-1,0,0,"83925","Trps1","zf-GATA"
"228911",1,0,0,"228911","Tshz2","zf-C2H2"
"243931",1,0,0,"243931","Tshz3","zf-C2H2"
"56734",-1,0,0,"56734","Tulp2","Tub"
"13345",1,1,0,"13345","Twist2","bHLH"
"22255",-1,0,0,"22255","Uncx","Homeobox"
"24113",0,1,0,"24113","Vax2","Homeobox"
"22337",0,1,0,"22337","Vdr","THR-like"
"22431",1,-1,0,"22431","Wt1","zf-C2H2"
"53422",0,0,-1,"53422","Ybx2","CSD"
"193736",-1,0,0,"193736","Zbtb12","ZBTB"
"235320",-1,0,0,"235320","Zbtb16","ZBTB"
"56490",1,0,0,"56490","Zbtb20","ZBTB"
"320633",-1,0,0,"320633","Zbtb26","ZBTB"
"320080",-1,0,0,"320080","Zbtb39","ZBTB"
"75580",1,1,0,"75580","Zbtb4","ZBTB"
"22724",1,0,1,"22724","Zbtb7b","ZBTB"
"207259",1,0,0,"207259","Zbtb7c","ZBTB"
"24136",1,1,0,"24136","Zeb2","zf-C2H2"
"22643",-1,0,-1,"22643","Zfp101","zf-C2H2"
"57745",1,0,0,"57745","Zfp112","zf-C2H2"
"56314",-1,0,0,"56314","Zfp113","zf-C2H2"
"193452",0,-1,-1,"193452","Zfp184","zf-C2H2"
"27274",-1,0,0,"27274","Zfp354b","zf-C2H2"
"238803",0,1,0,"238803","Zfp366","zf-C2H2"
"12192",1,0,0,"12192","Zfp36l1","zf-CCCH"
"29813",0,0,1,"29813","Zfp385a","zf-C2H2"
"22701",-1,0,0,"22701","Zfp41","zf-C2H2"
"94187",0,-1,0,"94187","Zfp423","zf-C2H2"
"431706",-1,0,0,"431706","Zfp457","zf-C2H2"
"328274",-1,0,0,"328274","Zfp459","zf-C2H2"
"243963",-1,0,0,"243963","Zfp473","zf-C2H2"
"243937",1,1,0,"243937","Zfp536","zf-C2H2"
"101544",1,0,0,"101544","Zfp575","zf-C2H2"
"235048",0,0,-1,"235048","Zfp599","zf-C2H2"
"239652",1,0,0,"239652","Zfp641","zf-C2H2"
"381405",0,-1,0,"381405","Zfp663","zf-C2H2"
"269704",-1,0,0,"269704","Zfp664","zf-C2H2"
"209225",0,0,1,"209225","Zfp710","zf-C2H2"
"319530",0,1,0,"319530","Zfp750","Others"
"240034",-1,0,-1,"240034","Zfp760","zf-C2H2"
"74400",-1,0,0,"74400","Zfp819","zf-C2H2"
"100043757",1,0,-1,"100043757","Zfp831","zf-C2H2"
"407812",0,-1,0,"407812","Zfp941","zf-C2H2"
"74149",-1,0,-1,"74149","Zfp946","zf-C2H2"
"22762",1,1,0,"22762","Zfpm2","zf-C2H2"
"22772",-1,0,0,"22772","Zic2","zf-C2H2"
"22773",-1,0,0,"22773","Zic3","zf-C2H2"
"22774",-1,0,0,"22774","Zic4","zf-C2H2"
"65100",-1,-1,0,"65100","Zic5","zf-C2H2"
"22775",-1,-1,-1,"22775","Zik1","zf-C2H2"
"22776",1,0,0,"22776","Zim1","zf-C2H2"
"210162",0,0,-1,"210162","Zkscan2","zf-C2H2"
"544922",1,0,0,"544922","Zkscan4","zf-C2H2"
"332221",-1,0,0,"332221","Zscan10","zf-C2H2"
