"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol","abslogFC"
"13653",7119.10107052932,-0.770734427850949,0.172887677320072,-4.45150915821114,8.52688956116742e-06,0.00018311522627388,"13653","Egr1",0.770734427850949
"56501",1270.8543830815,0.54341107435756,0.177842348132152,3.0613043399963,0.0022037497073625,0.0174345707980584,"56501","Elf4",0.54341107435756
"13813",55.8187941063697,-0.800914511768923,0.261327030911294,-2.95677548595834,0.00310874386890327,0.022915934062309,"13813","Eomes",0.800914511768923
"13819",707.548268546096,0.982885460279346,0.184541282588309,5.33810802439268,9.39214974861212e-08,3.79578639960777e-06,"13819","Epas1",0.982885460279346
"13982",59.7745055343552,0.622741370908592,0.20433426830615,3.04685158316182,0.0023125186113208,0.0180650033297962,"13982","Esr1",0.622741370908592
"14029",214.381885192254,-0.839629581128394,0.224080809554152,-3.72672445458167,0.000193984326954799,0.00244992856301648,"14029","Evx2",0.839629581128394
"54713",42.7362183861677,-1.40607538270586,0.261114469104616,-5.27331645362234,1.33980244551133e-07,5.08397434753756e-06,"54713","Fezf2",1.40607538270586
"14282",3366.94065405729,-1.23928192114877,0.231151406782335,-5.30877080630588,1.10367011426861e-07,4.35877213571112e-06,"14282","Fosb",1.23928192114877
"14284",711.459833187043,0.615942434088111,0.143220205534041,4.30182102098526,1.69400122689173e-05,0.000322861233834411,"14284","Fosl2",0.615942434088111
"15375",6.58162974717187,-0.888202828253397,0.261624212083308,-3.34328836273073,0.000827918186220365,0.00801723084254501,"15375","Foxa1",0.888202828253397
"15377",28.9753119511644,0.66937228309075,0.253858087728334,3.0397469415992,0.00236777005186966,0.0184108666249225,"15377","Foxa3",0.66937228309075
"14238",259.5602171406,2.82277513416547,0.181452439476909,15.4026725696481,1.57042269500528e-53,8.77970981354284e-50,"14238","Foxf2",2.82277513416547
"232077",6.57988900697667,0.83277112241286,0.249162841542713,3.93345452722694,8.37336855813893e-05,0.00121171818340903,"232077","Foxi3",0.83277112241286
"15218",4.16672910973648,0.654280366067162,0.230433792585097,3.66570726967348,0.000246655943021446,0.00298694113816295,"15218","Foxn1",0.654280366067162
"15220",66.5878664172922,2.01384790782923,0.215845028194481,9.22744634003689,2.77160617037121e-20,1.03300841532147e-17,"15220","Foxq1",2.01384790782923
"14463",24.2486141416235,-1.18820302706299,0.265757339150824,-4.36087201782656,1.29545125714276e-05,0.000255916472141323,"14463","Gata4",1.18820302706299
"14464",12.830685023684,-0.947772184708762,0.262751214739282,-3.56273710369035,0.000367008173613787,0.00418454186801526,"14464","Gata5",0.947772184708762
"14632",2544.4735384407,0.872645806608059,0.130671039492712,6.67897652252838,2.40616701687872e-11,2.11289179094711e-09,"14632","Gli1",0.872645806608059
"14836",214.47344058362,-0.822027178847259,0.250889057267772,-3.2638426997672,0.00109912169713306,0.0100187332088673,"14836","Gsc",0.822027178847259
"15111",1805.70302929168,-0.684159047493609,0.140524218050832,-4.8670684000207,1.13265836116082e-06,3.20353221473682e-05,"15111","Hand2",0.684159047493609
"15208",3.75534839843573,0.6187732728015,0.248858137910097,2.72440401854478,0.00644176510540736,0.0400106273859439,"15208","Hes5",0.6187732728015
