"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4"
"Zfp113",1339,1436,1326,1522,863,884,933,821,874,1155,612,687,1282,928,859,924,587,470,688,540,467,582,592
"Zfp184",1039,1018,952,1134,581,783,888,844,733,850,521,458,959,653,638,676,460,424,554,384,310,309,353
"Zfp2",692,769,686,817,434,526,595,469,419,624,353,379,747,533,463,470,335,230,327,287,261,293,290
"Zfp219",3830,4032,4139,4827,2455,2832,3067,3383,3173,4062,2067,1940,4157,2813,2682,2598,1993,1640,2346,1517,1346,1730,2092
"Zfp266",8963,10932,10378,10667,6307,8752,8800,7641,6130,11065,5530,6739,12458,8516,7047,7655,5634,4461,4571,4179,3689,4945,4786
"Zfp281",3300,3529,3346,3731,2162,2939,3132,2456,2093,3474,1837,2131,3863,2741,2440,2474,1773,1366,1544,1331,1250,1760,1570
"Zfp334",3249,3576,3486,3494,1945,2605,2632,2803,2210,3292,1754,1799,3865,2403,2041,2337,1742,1428,1669,1554,1154,1412,1348
"Zfp37",1065,1256,1123,1353,741,974,1094,969,767,1179,643,807,1337,957,779,811,619,516,599,458,440,567,495
"Zfp41",2820,3344,3209,3651,1837,2000,2111,2261,1939,2796,1384,1409,3170,1883,1916,1938,1285,1355,1402,1280,919,1156,1166
"Zfp423",4207,4406,4423,4608,2708,4216,4305,4499,3492,4650,2614,2509,4796,2708,2615,3297,2756,2144,2585,2185,1548,1601,1696
"Zfp459",78,152,120,133,42,72,76,70,42,93,41,45,74,59,40,72,35,46,60,33,28,48,57
"Zfp473",173,180,186,201,141,89,101,82,105,155,83,83,164,98,108,96,72,61,121,74,68,69,79
"Zfp493",193,219,178,194,104,129,163,146,97,169,72,95,190,159,133,111,90,58,91,67,72,87,103
"Zfp518b",4128,5173,4773,5119,2752,3671,3572,3369,2802,4423,2251,2511,5628,3260,3032,3547,2363,1995,2213,2121,1662,2048,2019
"Zfp524",131,104,109,136,74,104,131,145,149,221,107,128,357,222,199,217,133,190,143,157,146,172,190
"Zfp541",6,10,4,2,0,6,9,14,7,14,11,12,33,14,11,38,25,19,26,14,22,5,8
"Zfp558",752,810,739,759,440,879,867,779,477,843,460,456,987,607,657,618,516,382,378,313,275,383,376
"Zfp575",162,189,132,179,100,221,262,204,180,371,184,149,539,361,293,349,288,288,194,232,239,268,314
"Zfp599",511,550,483,542,305,359,409,333,304,463,269,258,425,332,368,275,222,164,239,139,100,184,195
"Zfp606",1988,2199,2019,2266,1350,1586,1767,1554,1139,1956,1165,1180,2670,1777,1378,1481,1094,759,886,777,774,962,917
"Zfp629",4732,5681,5354,5921,3241,3534,3695,3869,3279,4900,2551,2740,6119,3746,3388,3560,2511,2105,2630,2350,1760,2165,2478
"Zfp647",947,1151,1160,1212,571,752,746,775,709,923,530,502,1077,676,799,690,563,448,611,433,354,417,417
"Zfp663",196,176,153,169,86,130,168,138,107,88,35,40,84,56,49,89,60,37,64,34,19,27,29
"Zfp664",9288,11151,10582,11872,6577,7288,7818,6806,6242,10368,5179,5698,11735,7163,6550,6188,4636,4274,4733,3827,3151,4429,4314
"Zfp697",523,697,651,643,384,432,510,626,354,596,319,316,692,401,365,364,305,249,344,234,210,306,297
"Zfp711",1072,1108,1050,1179,674,1114,1066,838,561,1093,631,690,1332,917,748,786,673,523,411,408,340,530,505
"Zfp750",15,50,40,82,44,15,27,27,18,276,140,150,109,96,120,38,62,65,33,27,46,260,383
"Zfp760",1919,2007,1920,2026,1205,1470,1558,1303,954,1868,1074,1085,2340,1549,1447,1562,1127,799,807,646,694,938,941
"Zfp773",207,228,220,254,126,150,150,166,154,223,139,114,261,134,155,133,94,74,149,78,78,78,131
"Zfp808",801,883,888,911,513,773,799,571,392,819,366,555,848,738,630,648,537,249,280,204,261,448,330
"Zfp810",1363,1355,1290,1423,745,1149,1202,947,835,1310,605,732,1524,1059,947,931,710,632,635,508,459,629,639
"Zfp850",815,851,793,838,550,554,648,598,491,714,379,456,858,682,559,567,352,327,385,289,296,415,292
"Zfp92",47,56,33,49,29,33,43,51,26,54,39,29,45,32,43,19,26,17,22,7,9,24,23
"Zfp934",353,392,396,352,271,358,392,284,147,351,202,230,396,292,235,256,221,110,91,110,107,215,116
"Zfp941",180,204,223,209,126,202,199,194,130,150,112,113,124,97,85,91,78,69,114,45,38,67,42
"Zfp946",1292,1327,1237,1377,810,1057,1025,886,642,1228,655,754,1461,1177,901,946,699,474,406,359,400,653,506
"Zik1",2585,2803,2552,2966,1697,1811,1814,1623,1340,1739,1064,1107,1857,1337,1197,1086,809,729,989,609,598,643,676
"Zim1",1778,1657,1575,1238,790,2074,2866,2899,1780,4181,1958,2407,6906,4678,2598,4762,2598,2236,1852,3181,2643,3647,2667
"Zkscan2",724,806,791,640,398,723,690,780,448,899,390,454,1063,652,553,652,524,409,407,316,239,367,338
"Zscan10",58,63,68,75,29,18,29,32,18,62,26,22,38,15,22,9,15,6,20,6,4,13,30
"Arnt2",3835,4605,4399,4593,2392,4465,5032,5120,3734,5859,2825,3033,6779,3883,3631,3906,2891,2365,3124,2686,1801,1532,1907
"Foxp2",1896,2598,2552,2026,1606,2367,2452,2046,1213,3305,2382,2406,2846,1657,1406,1691,1507,1001,1072,937,778,1204,1425
"Gbx1",1,0,0,1,1,0,1,1,0,0,0,0,10,1,2,2,1,0,0,0,2,4,3
"Gli3",7314,10064,9552,9277,5459,11367,10775,8841,8692,14982,8442,9441,14591,8469,9502,9293,6324,5168,6372,4364,3074,5787,5769
"Isl1",182,44,45,47,24,83,106,95,133,39,37,50,58,56,31,85,24,29,100,39,49,12,14
"Msx1",3026,3788,3883,4724,2644,3603,3637,3925,4628,5827,3445,3486,6146,3940,5809,2680,2557,2105,2606,1169,811,2421,3444
"Myt1",5,6,2,8,1,4,10,10,5,5,8,9,5,2,6,3,1,2,7,3,1,2,1
"Phox2b",0,0,0,4,0,1,7,0,5,3,0,13,0,0,0,0,0,0,0,0,0,0,0
"Tbx20",4,4,6,13,1,0,97,35,8,2,2,4,0,0,4,11,3,36,74,0,0,6,1
"Zic1",97,262,266,116,30,88,121,67,103,90,53,57,304,176,89,234,114,100,82,209,155,177,108
