"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","delta_max_min","min","cluster"
"Fbxo44",0.912706015727194,0.914439711052784,1,0.760977279318323,0.797449721460215,0.956414342730565,0.811978027401638,0.507840015098867,0.641304763498521,0.584521174699805,0.47090934804811,0.434044418925367,0.38601559589142,0.566123567930204,0.331139958166581,0.357883994945413,0.146037171282038,0.353966790091781,0.0420708263638102,0,0.0388749952722423,0.183221954357954,0.385787417029565,2.70190531745388,5.37348289454018,9
"Gdpd1",0.874024358152631,1,0.941918685799437,0.921716742798609,0.898023406807486,0.778355154071331,0.686672103566458,0.650911843565663,0.52422028088895,0.529293562535488,0.481576786753987,0.47477282622661,0.190773887373812,0.193569858528906,0.301446948233412,0.29643210497879,0.276664611051519,0.184670332636088,0.45541269871837,0.0676119532528897,0.0646398811196638,0,0.0378854038326658,2.37441137753881,7.65708188476439,9
"Glb1l2",0.866944537205326,0.98732116981779,1,0.975661008276172,0.990638021113882,0.719015998367947,0.570756173455465,0.584129524404488,0.419246877868116,0.539446900329843,0.475857279798463,0.43629676168365,0.228549208941337,0.232482438716581,0.317189266767452,0.346852666329281,0.368332160343709,0.160952073443685,0.383457713085614,0.00917569972005936,0,0.0822737661213439,0.233099368418671,2.65513330454552,5.62418238127621,9
"Gstm7",0.941375881578689,0.96750954286554,1,0.951097029197447,0.938611772381473,0.767337975920434,0.742959569517089,0.731505654781719,0.551803901245607,0.479472516269516,0.560865160279989,0.466476008622067,0.347124179358415,0.295079757190347,0.421445708647227,0.282995748560655,0.40170316288004,0.298969177842416,0.492382849270144,0.172375243345072,0.161752771701409,0,0.170245939292559,2.98083437679766,6.6827382945849,9
"Hmgcll1",0.859445281878591,1,0.992346652906642,0.960564514616844,0.958090500631297,0.698457986132624,0.496437818389022,0.583863291615595,0.383501572702772,0.466824215008571,0.566487817874946,0.514486495744822,0.286385950665281,0.322126691131273,0.421360237529985,0.326220954806075,0.43355692109142,0.246741714988775,0.319379660417132,0.135958071622965,0,0.316932968222123,0.314364969987008,3.22984774232908,5.63609278871651,9
"Hoxa11os",0.910388136730392,0.966044150452631,0.968787531679273,1,0.924167717003721,0.718635931985344,0.545585405777053,0.606364728701903,0.551956136227456,0.490889188023336,0.606251034763476,0.484477079671579,0.393810437096887,0.354009395832133,0.450156885777404,0.330944854141104,0.455705394984247,0.293526574564271,0.327853942002002,0.0423536400808124,0,0.292576077728006,0.440323223159745,3.24577958312945,10.6822358661474,9
"Hs3st3b1",0.874327591576553,0.990457812602209,1,0.924331138667807,0.934770642090613,0.75679301953039,0.700147896990882,0.62623228447129,0.455510338723944,0.449601995016997,0.52913332890008,0.428747591509138,0.237275281375829,0.22726642241781,0.20436215775047,0.274136288805827,0.337267945921468,0.179398798458933,0.324265374554798,0.0667729977476059,0,0.176131463994813,0.230336829484789,2.94108647072405,9.5290335739343,9
"Il1f9",0.833881928281071,0.969339708565531,1,0.956808017289946,0.75747655727152,0.442264266454832,0.501549395709713,0.511174674123803,0.489353855921456,0.569721504119112,0.74078140219098,0.816000193121491,0.332300216893041,0.43930339557399,0.775276796146144,0.760648498781617,0.497662598659567,0.364467167472732,0.0924818746820787,0.25645810034042,0.146771885305945,0,0.28613917025735,3.8997918128962,6.06756357760933,9
"Itgb8",0.805942667415228,1,0.957010044798667,0.974066728385962,0.92315274299588,0.717322381702784,0.661272184635762,0.71521858992947,0.49953948831228,0.613402810507674,0.682929706038662,0.510627200102535,0.297568654563395,0.272345165224074,0.232824513626527,0.359283664365694,0.223550657453705,0.289322682569735,0.298197891255569,0,0.0301201247591668,0.170678308038072,0.298381974214139,2.57609355096302,6.21488998970462,9
"Lmntd2",0.981048763105037,1,0.998342082261656,0.988067444580824,0.966585580792835,0.704917411906352,0.585563005113397,0.663143577721798,0.58435080053998,0.511753215613065,0.515738192958705,0.44697017073557,0.289076802319272,0.240808769012737,0.322513477199237,0.252101638457589,0.434552706717087,0.244646452106367,0.5419434783643,0.068330867331891,0,0.319512614474121,0.290847457375958,3.55024940023889,5.87549751343478,9
"Lsr",0.799993662233706,0.963502676340649,0.963775485013109,0.998067558913822,1,0.726620130419946,0.678412344014284,0.65597416918074,0.652295931272005,0.5613142558342,0.667107303245358,0.588570010367577,0.29490291771416,0.313061092595991,0.415170687577841,0.319772810930301,0.386661503660849,0.412763094233944,0.634643610764424,0.121348030464076,0,0.480138170245476,0.412204407727281,3.36558255805371,7.39087041286752,9
"Map3k9",0.77633479923741,0.982704883989913,0.92926049522237,0.967105950931685,1,0.611241066879266,0.518384975759335,0.631466604816699,0.439829610184953,0.618720275478509,0.474546311921923,0.436759901961708,0.118159796949298,0.142649391173797,0.372238328331316,0.209733196652583,0.30659694578467,0.265871421630605,0.445215549870133,0.081760210823093,0,0.47724505103462,0.444575641322,3.45169646941341,5.86655259086117,9
"Mllt3",0.862667220228567,0.980206391558363,0.987856211003003,1,0.958075670051019,0.720356158298537,0.566321847757717,0.588478132295648,0.397930189873561,0.48722557366689,0.493998216691479,0.450258750348999,0.347497320642849,0.282428338010248,0.370285933653783,0.306181595672042,0.33753193305258,0.277235754910103,0.25987749502508,0.0907083068899353,0,0.301999079688475,0.317245626403162,2.92391243227828,9.19063916129404,9
"Mtmr7",0.887824058855145,0.97679186476459,0.984857626753165,1,0.983110606003706,0.731600667095568,0.655003788625258,0.650154217593638,0.526238366883639,0.545224648588361,0.624549599988067,0.529666885427358,0.228784496100075,0.306093917632289,0.349012026050601,0.38529784691555,0.342215149187798,0.276955933223915,0.39650345131999,0.121604659767778,0,0.159699874161787,0.337929351642118,2.99091125041215,5.39361196480251,9
"Nap1l2",0.962280637264325,1,0.977283948096581,0.904282780884354,0.882055300395685,0.896158853412793,0.887221363166276,0.796892252839513,0.635998461248762,0.512810015814407,0.497329139711058,0.450906884577452,0.367100882731817,0.411209118037141,0.402772308227535,0.415122091050537,0.475371385680035,0.266585900798292,0.504668177971194,0.253266298954576,0.259418566584558,0,0.136484899154353,3.48977523881061,4.04685108848268,9
