"","merged_data.Symbol","E12/E11","E13/E12","E14/E13"
"375","Zfp819",-1,0,0
"376","Zfp831",1,0,-1
"377","Zfp941",0,-1,0
"378","Zfp946",-1,0,-1
"379","Zfpm2",1,1,0
"380","Zic2",-1,0,0
"381","Zic3",-1,0,0
"382","Zic4",-1,0,0
"383","Zic5",-1,-1,0
"384","Zik1",-1,-1,-1
"385","Zim1",1,0,0
"386","Zkscan2",0,0,-1
"387","Zkscan4",1,0,0
"388","Zscan10",-1,0,0
