"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mical2",388.963765537911,0.543868639142364,0.170931273589701,3.17906975196551,0.00147748532182596,0.0190952664400558
"Mid1ip1",578.308336945173,0.626342602802343,0.177750668948417,3.5207808710068,0.000430278032938202,0.00794099313518708
"Milr1",110.351704088768,1.0989598853139,0.263468701503983,4.10758241671538,3.99822128689624e-05,0.00148378434424816
"Mitf",433.061371088395,0.608890118921645,0.187815361854031,3.23786384574035,0.00120428268187742,0.0168192433630887
"Mkrn1",970.369262236548,0.340934773971424,0.114843434256614,2.96901045356722,0.00298760432725715,0.0308936292069044
"Mlkl",23.6215138601467,0.843745044042301,0.26547020939621,3.14719859912949,0.00164842956066296,0.0205536515038023
"Mlxipl",91.5063111165172,-0.738058974686942,0.226356846100286,-3.26958186099859,0.00107706567425957,0.0155832045663841
"Mlycd",330.05742646786,0.401076927176963,0.124537048397857,3.22064740585689,0.00127901399184673,0.0173985802807712
"Mmp11",2728.10984660869,-0.341136688931498,0.122592170225126,-2.78331483752823,0.00538065651267793,0.0463841548248315
"Mmp19",129.534235638693,0.990721877853983,0.271175187313509,3.57909594424984,0.00034478487994751,0.00680569186097575
"Mmp23",263.932323528559,0.666423397668542,0.235703292715285,2.81532426265041,0.00487280395468031,0.0433635354198251
"Mmp8",6.99922424881828,0.83108152885859,0.247697232920516,3.42564914917912,0.00061333208658529,0.0103527818228128
"Mnda",17.2068688606642,0.884376590762489,0.276912451346629,3.13186782494518,0.00173698054279818,0.0212526270934106
"Mndal",51.9979670762687,1.19410127584835,0.273817521138677,4.26733127515798,1.97825286665661e-05,0.000928173386110808
"Mns1",357.381951818793,0.693863725810833,0.20790339303804,3.3282958066858,0.000873790335924396,0.0133691624691434
"Mob3c",404.95101856907,0.64356833269911,0.159250520245153,4.03852946545915,5.37873377491433e-05,0.00182365794381437
"Mocos",24.9684811422808,0.859792308791655,0.26237544584479,3.24790648138771,0.00116257474604778,0.0164119589599443
"Moxd1",1378.82622552934,-0.616793090480503,0.219109986136106,-2.83389332018055,0.00459846802081145,0.0415343791661094
"Mpeg1",1340.71777472389,1.22241289506778,0.233055475195601,5.21097362880692,1.87852155861247e-07,3.98006440902892e-05
